City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
149,Sabang,ID,83.35,overcast clouds,5.8933,95.3214,Hotel Citra
150,Dunedin,NZ,42.8,clear sky,-45.8742,170.5036,Scenic Hotel Southern Cross
151,Mangan,IN,77.63,overcast clouds,27.5167,88.5333,Hotel Mout View
152,Ingham,US,77.65,scattered clouds,42.6,-84.3833,Sunset Place
153,Velsk,RU,62.73,broken clouds,61.0701,42.0983,Zhemchuzhina Severa
154,Tuy Hoa,VN,85.39,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
155,Severobaykalsk,RU,53.02,overcast clouds,55.65,109.3167,Hostel03RUS
156,Dzhebariki-Khaya,RU,54.36,clear sky,62.2167,135.8,
157,Bluff,NZ,33.8,few clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
158,Cabo San Lucas,MX,96.8,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
159,Narsaq,GL,52.02,light rain,60.9167,-46.05,Narsaq Kayak Hostel
160,Mayo,US,81.36,clear sky,38.8876,-76.5119,Resorts Resource Group International
161,Sandwick,GB,57.02,few clouds,60.0,-1.25,Beach House Self-Catering Accomodation
162,Urucara,BR,94.42,broken clouds,-2.5364,-57.76,Pousada Maria Bonita
163,Khatanga,RU,67.37,overcast clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
164,Viedma,AR,63.9,overcast clouds,-40.8135,-62.9967,Hotel Cristal
165,Erenhot,CN,73.31,few clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
166,Krasnyy Yar,RU,88.97,clear sky,46.5331,48.3456,Cottege near Ufa
167,Aban,RU,61.59,clear sky,56.67,96.06,Gostinitsa
168,Tromso,NO,54.25,broken clouds,69.6496,18.957,"Radisson Blu Hotel, Tromsø"
169,Parry Sound,CA,76.87,broken clouds,45.3501,-80.033,Bayside Inn
171,Ancud,CL,51.33,broken clouds,-41.8697,-73.8203,Hotel Arena Gruesa
172,Belaya Gora,RU,40.84,few clouds,68.5333,146.4167,
173,Esperance,AU,52.63,few clouds,-33.8667,121.9,Hospitality Esperance
