City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind,Country,Description
250,Barguzin,53.6167,109.6167,55.89,84,98,3.83,RU,overcast clouds
251,Kribi,2.95,9.9167,76.93,81,100,6.6,CM,overcast clouds
252,Bairiki,1.3292,172.9752,82.4,74,20,5.75,KI,few clouds
253,Potam,27.6,-110.3833,96.84,55,38,3.78,MX,scattered clouds
254,Katyuzhanka,50.806,30.1376,74.53,59,83,4.23,UA,broken clouds
255,Rincon,32.296,-81.2354,84.11,81,75,6.91,US,broken clouds
256,Sayyan,15.1718,44.3244,66.83,58,71,6.13,YE,broken clouds
257,Creel,27.75,-107.6333,69.1,53,45,8.41,MX,scattered clouds
258,Karaton,-6.3424,106.1045,79.95,93,29,1.34,ID,scattered clouds
259,Iralaya,15.0,-83.2333,84.29,74,100,14.12,HN,overcast clouds
260,Lensk,60.7253,114.9278,54.7,97,17,2.95,RU,few clouds
261,Genhe,50.7833,121.5167,56.57,89,100,2.8,CN,overcast clouds
262,Huilong,31.8111,121.655,84.04,93,68,12.86,CN,broken clouds
263,Tursunzoda,38.5144,68.2333,85.08,26,2,6.76,TJ,clear sky
264,Pouso Alegre,-22.23,-45.9364,72.84,35,21,2.15,BR,few clouds
265,Izmalkovo,52.6887,37.964,67.69,62,75,7.92,RU,broken clouds
266,Selikhino,50.3672,137.4996,57.36,92,85,7.76,RU,overcast clouds
267,Chachapoyas,-6.2317,-77.869,64.47,49,33,5.97,PE,scattered clouds
268,Jalingo,8.8833,11.3667,79.63,79,74,3.76,NG,broken clouds
269,Alihe,50.5667,123.7167,60.21,97,100,2.98,CN,overcast clouds
270,Podor,16.6527,-14.9587,92.68,46,100,14.25,MR,overcast clouds
271,Khani,41.9563,42.9566,71.17,91,0,2.44,GE,clear sky
272,Baiyin,36.5583,104.2081,58.08,64,34,4.09,CN,scattered clouds
273,Lorengau,-2.0226,147.2712,82.11,78,45,6.87,PG,scattered clouds
274,Champerico,14.3,-91.9167,91.76,68,100,3.15,GT,overcast clouds
275,Nha Trang,12.25,109.1833,84.2,71,100,4.74,VN,overcast clouds
276,Sorland,67.667,12.6934,53.67,82,93,11.36,NO,overcast clouds
