City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
332,Price,US,39.5994,-110.8107,71.73,72,1,0.0
333,Jha Jha,IN,24.7667,86.3667,84.42,78,100,1.72
334,Padre Bernardo,BR,-15.35,-48.5,86.5,21,13,7.54
335,Richards Bay,ZA,-28.783,32.0377,62.83,87,3,5.95
336,Kaeo,NZ,-35.1,173.7833,52.32,86,7,16.58
337,Kavaratti,IN,10.5669,72.642,82.38,76,100,13.71
338,Bonavista,CA,48.6499,-53.1147,77.0,66,1,10.47
339,Jacmel,HT,18.2342,-72.5347,93.04,63,100,7.67
340,Cherskiy,RU,68.75,161.3,33.44,93,66,11.95
341,Ercis,TR,39.0287,43.3586,71.2,57,62,4.5
342,Ambilobe,MG,-13.2,49.05,70.63,85,37,3.44
343,Balabac,PH,7.9868,117.0645,83.88,78,100,16.89
344,Katobu,ID,-4.9408,122.5276,73.33,95,8,3.56
345,Talaya,RU,61.3833,152.75,35.73,93,86,4.72
346,Pangoa,PE,-12.1167,-73.0,81.64,42,58,4.18
347,Sotouboua,TG,8.5667,0.9833,76.6,86,99,2.42
348,Luanda,AO,-8.8368,13.2343,75.2,78,0,9.22
349,Faanui,PF,-16.4833,-151.75,79.59,66,91,12.66
350,Novoselytsya,UA,48.2193,26.2653,80.17,68,39,9.57
351,Hami,CN,42.8,93.45,82.09,20,0,1.61
352,Rio Gallegos,AR,-51.6226,-69.2181,48.25,37,0,18.41
353,Maxixe,MZ,-23.8597,35.3472,65.95,74,5,8.75
354,Hanna,CA,51.6334,-111.9018,84.36,22,99,10.22
355,Dwarka,IN,22.2394,68.9678,82.0,83,98,22.73
356,Tuatapere,NZ,-46.1333,167.6833,44.82,83,100,5.61
357,Tulun,RU,54.5611,100.5792,53.98,94,100,4.0
358,Clyde River,CA,70.4692,-68.5914,46.63,76,75,16.11
359,Ngunguru,NZ,-35.6167,174.5,52.16,71,25,22.08
360,Sibolga,ID,1.7427,98.7792,77.11,84,76,3.51
361,Iralaya,HN,15.0,-83.2333,86.09,83,63,14.58
362,Kropotkin,RU,45.4375,40.5756,83.55,38,28,8.68
363,Aswan,EG,24.0934,32.907,108.7,9,0,13.8
364,Calbuco,CL,-41.768,-73.1273,51.01,79,75,5.41
365,Caborca,MX,30.5838,-111.101,86.49,40,0,1.5
366,Bali Chak,IN,22.3667,87.55,83.57,81,100,5.53
367,Jumla,NP,29.2747,82.1838,64.74,93,76,2.21
368,Mao,ES,39.8885,4.2658,79.36,53,20,11.5
369,Bitung,ID,1.4451,125.1824,77.85,86,78,10.76
370,Manggar,ID,-2.8833,108.2667,81.07,76,97,8.01
371,Mahebourg,MU,-20.4081,57.7,67.24,82,20,6.91
372,Hasaki,JP,35.7333,140.8333,79.09,92,99,10.6
373,San Cristobal,VE,7.7669,-72.225,80.78,70,100,7.74
374,Idrinskoye,RU,54.3708,92.1358,63.82,81,94,2.33
375,Port Lincoln,AU,-34.7333,135.8667,51.08,67,92,20.24
376,Poum,NC,-20.2333,164.0167,67.39,65,6,8.84
377,Rocha,UY,-34.4833,-54.3333,58.03,68,1,6.53
378,Chibombo,ZM,-14.6569,28.0706,64.89,31,3,6.17
379,Binzhou,CN,37.3667,118.0167,71.04,90,1,4.68
380,Curaca,BR,-8.9903,-39.9094,85.96,31,6,17.18
381,Port Macquarie,AU,-31.4333,152.9167,60.76,94,100,14.05
382,Bengkulu,ID,-3.8004,102.2655,75.33,90,50,3.04
383,Tabou,CI,4.423,-7.3528,79.48,70,49,8.39
384,Kismayo,SO,-0.3582,42.5454,76.14,83,75,16.71
